id_laporan;nama_skpd;kategori;rincian_masalah;status;tanggal_masuk;tanggal_selesai;selisih_hari
QL001229778;KELURAHAN WIJAYA KUSUMA;Sampah;Sampah Got;complete;2019-02-08;2019-02-08;0
QL001229771;KELURAHAN DURI SELATAN;Sampah;Sampah Lingkungan;complete;2019-02-08;2019-02-08;0
QL001229731;KELURAHAN KOTA BAMBU UTARA;Jembatan Penyeberangan Orang (JPO) dan/atau halte;"laporan sdh selesai di TL. terima kasih.""";complete;2019-02-07;2019-02-08;1
QL001229644;KELURAHAN DURI KEPA;Sampah;Sampah Got;complete;2019-02-07;2019-02-08;1
QL001229640;KELURAHAN DURI KEPA;Sampah;Sampah Got;complete;2019-02-07;2019-02-08;1
QL001229532;KELURAHAN MERUYA UTARA;Jembatan Penyeberangan Orang (JPO) dan/atau halte;"portal jalan""";complete;2019-02-07;2019-02-07;0
QL001181247;KELURAHAN KEMBANGAN SELATAN;Sampah;Sampah Lingkungan;complete;2019-02-07;2019-02-07;0
QL001229615;KELURAHAN TOMANG;Transportasi publik;Laporan Transjakarta;complete;2019-02-07;2019-02-07;0
QL001229593;KELURAHAN SLIPI;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229592;KELURAHAN SLIPI;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229587;KELURAHAN GROGOL;Sampah;Rumput Liar Kecil;complete;2019-02-07;2019-02-07;0
QL001229573;KELURAHAN ANGKE;Gangguan ketenteraman dan ketertiban;Pelanggaran Area Publik;complete;2019-02-07;2019-02-08;1
QL001229568;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229555;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;"Corli""";complete;2019-02-07;2019-02-07;0
QL001229533;KELURAHAN GROGOL;Sampah;Rumput Liar Kecil;complete;2019-02-07;2019-02-07;0
TW000010797;KELURAHAN KAPUK;Sampah;Sampah Got;complete;2019-02-07;2019-02-07;0
QL001229518;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229519;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229517;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229515;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229506;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229500;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229501;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229485;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229483;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229482;KELURAHAN GROGOL;Sampah;Sampah Lingkungan;complete;2019-02-07;2019-02-07;0
